"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter","Info","bt_data","comment"
"8581","157.590","Slave_0xaf9a9b6d","LE 1M","ATT","13","149\302\265s","0","1","False","1931","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317324c",""
"8601","158.065","Slave_0xaf9a9b6d","LE 1M","ATT","13","149\302\265s","0","1","False","1941","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03173c56",""
"8612","158.398","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","0","1","False","1948","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03174660",""
"8641","159.110","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","0","1","False","1963","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03174660",""
"8657","159.490","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","0","1","False","1971","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03174660",""
"8671","159.823","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","1","0","False","1978","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03174660",""
"8673","159.870","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","1","0","False","1979","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03174660",""
"8685","160.203","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","1","0","False","1986","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317506a",""
"8707","160.726","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","0","1","False","1997","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03175a74",""
"8752","161.913","Slave_0xaf9a9b6d","LE 1M","ATT","19","150\302\265s","1","0","False","2022","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317647effff030b000e",""
"9897","189.892","Master_0xaf9a9b6d","LE 1M","ATT","13","47192\302\265s","0","0","False","2611","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff031b001e","Auto Pos off"
